NA.;NA..1;NA..2;NA..3;NA..4;NA..5
Computers and information processing;Image processing;Active shape model;Image denoising;;
Computers and information processing;Image processing;Active shape model;Image enhancement;;
Computers and information processing;Image processing;Active shape model;Image filtering;;
Computers and information processing;Image processing;Active shape model;Image fusion;;
Computers and information processing;Image processing;Active shape model;Image preprocessing;;
Computers and information processing;Image processing;Active shape model;Image recognition;;
Computers and information processing;Image processing;Active shape model;Image recognition;Image edge detection;
Computers and information processing;Image processing;Active shape model;Image reconstruction;;
Computers and information processing;Image processing;Active shape model;Image registration;;
Computers and information processing;Image processing;Active shape model;Image representation;;
Computers and information processing;Image processing;Active shape model;Image representation;Digital representation;
